timestamp,rank,movie_name,year,rating,votes
2026-09-04 17:46:32,1,The Red Bag,2026,10.0,1029
2026-09-04 17:46:32,2,Romantic Weirdos and the Land of Oddz,2007,10.0,615
2026-09-04 17:46:32,3,Photographer,2026,10.0,171
2026-09-04 17:46:32,4,Dark plague birds. Funny filming,2026,10.0,8
2026-09-04 17:46:32,5,My boyfriends daddy is my man,2022,10.0,7
2026-09-04 17:46:32,6,In Medias Res,2011,9.9,801
2026-09-04 17:46:32,7,El Proyecto que Amenaza a México,2025,9.9,80
2026-09-04 17:46:32,8,Squirting MILFs,2022,9.9,9
2026-09-04 17:46:32,9,A Fighting Legacy,2025,9.8,98
2026-09-04 17:46:32,10,Argonauta,2019,9.8,84
2026-09-04 17:46:32,11,For Such a Time as This,2025,9.8,83
2026-09-04 17:46:32,12,O Lar,2008,9.8,79
2026-09-04 17:46:32,13,Quantum Qi,2025,9.8,76
2026-09-04 17:46:32,14,Who Is Prince Oak Oakleyski,2022,9.8,73
2026-09-04 17:46:32,15,La Lucha: Getting Schooled in America,2023,9.8,64
2026-09-04 17:46:32,16,The Son,2021,9.8,46
2026-09-04 17:46:32,17,Bankie Banx: King of the Dune,2024,9.8,38
2026-09-04 17:46:32,18,Undocumented Unafraid,2020,9.8,35
2026-09-04 17:46:32,19,Possible Selves,2022,9.8,35
2026-09-04 17:46:32,20,Melges: The Wizard of Zenda,2023,9.8,23
2026-09-04 17:46:32,21,A Nineteenth-century Photographer's Legacy,2022,9.8,22
2026-09-04 17:46:32,22,Hassanovi Ratovi,2024,9.8,22
2026-09-04 17:46:32,23,Endless Light,2022,9.8,19
2026-09-04 17:46:32,24,Kamarati,2011,9.8,19
2026-09-04 17:46:32,25,A Place to Call His Own,2013,9.8,18
2026-09-04 17:46:32,26,Finding HAPPY,2025,9.8,17
2026-09-04 17:46:32,27,Strade interrotte,2021,9.8,16
2026-09-04 17:46:32,28,Chaos Dragon and the Light,2023,9.8,16
2026-09-04 17:46:32,29,The Time of the Fireflies,2022,9.8,15
2026-09-04 17:46:32,30,Survivors Speak: Domestic Abuse and the Legal System,2024,9.8,15
2026-09-04 17:46:32,31,Héroes de Chapultepec,2021,9.8,14
2026-09-04 17:46:32,32,Fortunate Sons,2025,9.8,14
2026-09-04 17:46:32,33,Megas afsakið meðanað ég æli,2023,9.8,13
2026-09-04 17:46:32,34,The Dirty Gerund Poetry Show,2024,9.8,13
2026-09-04 17:46:32,35,Legacy: The Fifty State Story of Letters from Home,2025,9.8,13
2026-09-04 17:46:32,36,Big Bones - Big Business,2004,9.8,12
2026-09-04 17:46:32,37,You Have His Eyes,2014,9.8,12
2026-09-04 17:46:32,38,Racquel Untamed,1990,9.8,10
2026-09-04 17:46:32,39,Cheater Cheater Pussy Eater,2013,9.8,9
2026-09-04 17:46:32,40,Big Ass Bhabhi,2022,9.8,7
2026-09-04 17:46:32,41,Oliver Tree - Celebration of Life,2026,9.8,7
2026-09-04 17:46:32,42,Awakening Mind Part 3 - Liberation,2025,9.8,5
2026-09-04 17:46:32,43,Mr. Goalie,2025,9.8,5
2026-09-04 17:46:32,44,From China with Love,2025,9.7,553
2026-09-04 17:46:32,45,Ameer Log,2026,9.7,313
2026-09-04 17:46:32,46,Illusory Thoughts,1989,9.7,152
